frame,abstime,reltime,Line 1 [C]
0,2018-06-13 15:12:23.191000,0.000000,2.889798e+001
1,2018-06-13 15:12:23.224000,0.033000,2.887605e+001
2,2018-06-13 15:12:23.257000,0.066000,2.885139e+001
3,2018-06-13 15:12:23.292000,0.101000,2.884242e+001
4,2018-06-13 15:12:23.325000,0.134000,2.882675e+001
5,2018-06-13 15:12:23.358000,0.167000,2.883436e+001
6,2018-06-13 15:12:23.391000,0.200000,2.882543e+001
7,2018-06-13 15:12:23.424000,0.233000,2.881375e+001
8,2018-06-13 15:12:23.458000,0.267000,2.881019e+001
9,2018-06-13 15:12:23.491000,0.300000,2.880843e+001
10,2018-06-13 15:12:23.525000,0.334000,2.878562e+001
11,2018-06-13 15:12:23.558000,0.367000,2.875690e+001
12,2018-06-13 15:12:23.591000,0.400000,2.875202e+001
13,2018-06-13 15:12:23.624000,0.433000,2.874658e+001
14,2018-06-13 15:12:23.657000,0.466000,2.872908e+001
15,2018-06-13 15:12:23.691000,0.500000,2.872736e+001
16,2018-06-13 15:12:23.724000,0.533000,2.871884e+001
17,2018-06-13 15:12:23.758000,0.567000,2.870899e+001
18,2018-06-13 15:12:23.791000,0.600000,2.870858e+001
19,2018-06-13 15:12:23.824000,0.633000,2.870815e+001
20,2018-06-13 15:12:23.857000,0.666000,2.868164e+001
21,2018-06-13 15:12:23.891000,0.700000,2.868393e+001
22,2018-06-13 15:12:23.924000,0.733000,2.867047e+001
23,2018-06-13 15:12:23.957000,0.766000,2.864889e+001
24,2018-06-13 15:12:23.991000,0.800000,2.863357e+001
25,2018-06-13 15:12:24.025000,0.834000,2.863360e+001
26,2018-06-13 15:12:24.058000,0.867000,2.862597e+001
27,2018-06-13 15:12:24.091000,0.900000,2.862198e+001
28,2018-06-13 15:12:24.124000,0.933000,2.861478e+001
29,2018-06-13 15:12:24.158000,0.967000,2.860446e+001
30,2018-06-13 15:12:24.191000,1.000000,2.861211e+001
31,2018-06-13 15:12:24.225000,1.034000,2.858786e+001
32,2018-06-13 15:12:24.259000,1.068000,2.857620e+001
33,2018-06-13 15:12:24.292000,1.101000,2.859014e+001
34,2018-06-13 15:12:24.325000,1.134000,2.858069e+001
35,2018-06-13 15:12:24.358000,1.167000,2.858427e+001
36,2018-06-13 15:12:24.392000,1.201000,2.858249e+001
37,2018-06-13 15:12:24.425000,1.234000,2.856626e+001
38,2018-06-13 15:12:24.458000,1.267000,2.857303e+001
39,2018-06-13 15:12:24.492000,1.301000,2.858474e+001
40,2018-06-13 15:12:24.525000,1.334000,2.858430e+001
41,2018-06-13 15:12:24.558000,1.367000,2.856945e+001
51,2018-06-13 15:12:24.891000,1.700000,2.847466e+001
61,2018-06-13 15:12:25.224000,2.033000,2.839637e+001
71,2018-06-13 15:12:25.557000,2.366000,2.908721e+001
81,2018-06-13 15:12:25.890000,2.699000,2.940720e+001
91,2018-06-13 15:12:26.224000,3.033000,2.937486e+001
101,2018-06-13 15:12:26.558000,3.367000,2.943482e+001
111,2018-06-13 15:12:26.890000,3.699000,2.982852e+001
121,2018-06-13 15:12:27.224000,4.033000,3.012855e+001
131,2018-06-13 15:12:27.557000,4.366000,3.008145e+001
141,2018-06-13 15:12:27.890000,4.699000,2.988509e+001
151,2018-06-13 15:12:28.225000,5.034000,2.973067e+001
161,2018-06-13 15:12:28.557000,5.366000,2.976514e+001
171,2018-06-13 15:12:28.891000,5.700000,3.017553e+001
181,2018-06-13 15:12:29.224000,6.033000,3.031252e+001
191,2018-06-13 15:12:29.556000,6.365000,3.140509e+001
201,2018-06-13 15:12:29.891000,6.700000,3.190702e+001
211,2018-06-13 15:12:30.224000,7.033000,3.256207e+001
221,2018-06-13 15:12:30.556000,7.365000,3.334817e+001
231,2018-06-13 15:12:30.890000,7.699000,3.424779e+001
241,2018-06-13 15:12:31.223000,8.032000,3.459305e+001
251,2018-06-13 15:12:31.557000,8.366000,3.506999e+001
261,2018-06-13 15:12:31.890000,8.699000,3.518781e+001
271,2018-06-13 15:12:32.223000,9.032000,3.516663e+001
281,2018-06-13 15:12:32.557000,9.366000,3.526334e+001
291,2018-06-13 15:12:32.890000,9.699000,3.572441e+001
301,2018-06-13 15:12:33.222000,10.031000,3.629771e+001
311,2018-06-13 15:12:33.557000,10.366000,3.648751e+001
321,2018-06-13 15:12:33.890000,10.699000,3.673739e+001
331,2018-06-13 15:12:34.223000,11.032000,3.704920e+001
341,2018-06-13 15:12:34.557000,11.366000,3.730890e+001
351,2018-06-13 15:12:34.889000,11.698000,3.739202e+001
361,2018-06-13 15:12:35.222000,12.031000,3.718113e+001
371,2018-06-13 15:12:35.555000,12.364000,3.702146e+001
381,2018-06-13 15:12:35.889000,12.698000,3.683740e+001
391,2018-06-13 15:12:36.223000,13.032000,3.597319e+001
401,2018-06-13 15:12:36.555000,13.364000,3.477789e+001
411,2018-06-13 15:12:36.890000,13.699000,3.393055e+001
