frame,abstime,reltime,Line 1 [C]
0,2018-06-13 14:21:51.274000,0.000000,2.856104e+001
1,2018-06-13 14:21:51.307000,0.033000,2.856897e+001
2,2018-06-13 14:21:51.340000,0.066000,2.856021e+001
3,2018-06-13 14:21:51.373000,0.099000,2.855103e+001
4,2018-06-13 14:21:51.406000,0.132000,2.855729e+001
5,2018-06-13 14:21:51.439000,0.165000,2.854728e+001
6,2018-06-13 14:21:51.473000,0.199000,2.854269e+001
7,2018-06-13 14:21:51.506000,0.232000,2.855020e+001
8,2018-06-13 14:21:51.540000,0.266000,2.855021e+001
9,2018-06-13 14:21:51.573000,0.299000,2.853976e+001
10,2018-06-13 14:21:51.606000,0.332000,2.854394e+001
11,2018-06-13 14:21:51.639000,0.365000,2.855271e+001
12,2018-06-13 14:21:51.672000,0.398000,2.854770e+001
13,2018-06-13 14:21:51.706000,0.432000,2.854602e+001
14,2018-06-13 14:21:51.740000,0.466000,2.854060e+001
15,2018-06-13 14:21:51.773000,0.499000,2.853725e+001
16,2018-06-13 14:21:51.806000,0.532000,2.852305e+001
17,2018-06-13 14:21:51.839000,0.565000,2.852139e+001
18,2018-06-13 14:21:51.872000,0.598000,2.852807e+001
19,2018-06-13 14:21:51.905000,0.631000,2.851805e+001
20,2018-06-13 14:21:51.939000,0.665000,2.850887e+001
21,2018-06-13 14:21:51.973000,0.699000,2.852056e+001
22,2018-06-13 14:21:52.007000,0.733000,2.851471e+001
23,2018-06-13 14:21:52.040000,0.766000,2.849675e+001
24,2018-06-13 14:21:52.073000,0.799000,2.849591e+001
25,2018-06-13 14:21:52.106000,0.832000,2.850594e+001
26,2018-06-13 14:21:52.139000,0.865000,2.850302e+001
27,2018-06-13 14:21:52.172000,0.898000,2.849885e+001
28,2018-06-13 14:21:52.206000,0.932000,2.850052e+001
29,2018-06-13 14:21:52.240000,0.966000,2.850637e+001
30,2018-06-13 14:21:52.273000,0.999000,2.850177e+001
31,2018-06-13 14:21:52.306000,1.032000,2.850427e+001
32,2018-06-13 14:21:52.339000,1.065000,2.850469e+001
33,2018-06-13 14:21:52.372000,1.098000,2.850135e+001
34,2018-06-13 14:21:52.405000,1.131000,2.851095e+001
35,2018-06-13 14:21:52.439000,1.165000,2.850594e+001
36,2018-06-13 14:21:52.473000,1.199000,2.851137e+001
37,2018-06-13 14:21:52.506000,1.232000,2.851556e+001
38,2018-06-13 14:21:52.539000,1.265000,2.851347e+001
39,2018-06-13 14:21:52.572000,1.298000,2.851180e+001
40,2018-06-13 14:21:52.605000,1.331000,2.850345e+001
41,2018-06-13 14:21:52.638000,1.364000,2.849510e+001
42,2018-06-13 14:21:52.672000,1.398000,2.849259e+001
43,2018-06-13 14:21:52.706000,1.432000,2.849342e+001
44,2018-06-13 14:21:52.740000,1.466000,2.849133e+001
45,2018-06-13 14:21:52.773000,1.499000,2.850930e+001
46,2018-06-13 14:21:52.806000,1.532000,2.850052e+001
