frame,abstime,reltime,Line 1 [C]
0,2018-06-13 14:17:29.324000,0.000000,2.855434e+001
1,2018-06-13 14:17:29.357000,0.033000,2.855721e+001
2,2018-06-13 14:17:29.390000,0.066000,2.855399e+001
3,2018-06-13 14:17:29.423000,0.099000,2.855971e+001
4,2018-06-13 14:17:29.457000,0.133000,2.857295e+001
5,2018-06-13 14:17:29.491000,0.167000,2.856794e+001
6,2018-06-13 14:17:29.524000,0.200000,2.856222e+001
7,2018-06-13 14:17:29.557000,0.233000,2.855542e+001
8,2018-06-13 14:17:29.591000,0.267000,2.855470e+001
9,2018-06-13 14:17:29.624000,0.300000,2.855113e+001
10,2018-06-13 14:17:29.657000,0.333000,2.854719e+001
11,2018-06-13 14:17:29.690000,0.366000,2.854612e+001
12,2018-06-13 14:17:29.724000,0.400000,2.853681e+001
13,2018-06-13 14:17:29.757000,0.433000,2.853574e+001
14,2018-06-13 14:17:29.790000,0.466000,2.852249e+001
15,2018-06-13 14:17:29.824000,0.500000,2.852822e+001
16,2018-06-13 14:17:29.857000,0.533000,2.853037e+001
17,2018-06-13 14:17:29.890000,0.566000,2.853753e+001
18,2018-06-13 14:17:29.923000,0.599000,2.854361e+001
19,2018-06-13 14:17:29.957000,0.633000,2.853359e+001
20,2018-06-13 14:17:29.990000,0.666000,2.853609e+001
21,2018-06-13 14:17:30.024000,0.700000,2.853681e+001
22,2018-06-13 14:17:30.057000,0.733000,2.854361e+001
23,2018-06-13 14:17:30.090000,0.766000,2.853430e+001
24,2018-06-13 14:17:30.123000,0.799000,2.852034e+001
25,2018-06-13 14:17:30.156000,0.832000,2.851855e+001
26,2018-06-13 14:17:30.189000,0.865000,2.851748e+001
27,2018-06-13 14:17:30.223000,0.899000,2.850101e+001
28,2018-06-13 14:17:30.257000,0.933000,2.849670e+001
29,2018-06-13 14:17:30.290000,0.966000,2.847880e+001
30,2018-06-13 14:17:30.323000,0.999000,2.847343e+001
31,2018-06-13 14:17:30.356000,1.032000,2.846483e+001
32,2018-06-13 14:17:30.389000,1.065000,2.845480e+001
