frame,abstime,reltime,Line 1 [C]
0,2018-06-13 14:38:00.924000,0.000000,2.790119e+001
1,2018-06-13 14:38:00.957000,0.033000,2.789500e+001
2,2018-06-13 14:38:00.991000,0.067000,2.788695e+001
3,2018-06-13 14:38:01.025000,0.101000,2.789562e+001
4,2018-06-13 14:38:01.058000,0.134000,2.789345e+001
5,2018-06-13 14:38:01.091000,0.167000,2.788540e+001
6,2018-06-13 14:38:01.124000,0.200000,2.788044e+001
7,2018-06-13 14:38:01.157000,0.233000,2.787177e+001
8,2018-06-13 14:38:01.191000,0.267000,2.786465e+001
9,2018-06-13 14:38:01.225000,0.301000,2.786558e+001
10,2018-06-13 14:38:01.259000,0.335000,2.787456e+001
11,2018-06-13 14:38:01.292000,0.368000,2.786434e+001
12,2018-06-13 14:38:01.325000,0.401000,2.786868e+001
13,2018-06-13 14:38:01.358000,0.434000,2.786341e+001
14,2018-06-13 14:38:01.391000,0.467000,2.787084e+001
15,2018-06-13 14:38:01.425000,0.501000,2.787146e+001
16,2018-06-13 14:38:01.458000,0.534000,2.787456e+001
17,2018-06-13 14:38:01.492000,0.568000,2.788973e+001
18,2018-06-13 14:38:01.525000,0.601000,2.788478e+001
19,2018-06-13 14:38:01.558000,0.634000,2.789252e+001
20,2018-06-13 14:38:01.591000,0.667000,2.789903e+001
21,2018-06-13 14:38:01.624000,0.700000,2.788664e+001
22,2018-06-13 14:38:01.658000,0.734000,2.789346e+001
23,2018-06-13 14:38:01.691000,0.767000,2.788572e+001
33,2018-06-13 14:38:02.025000,1.101000,2.789253e+001
43,2018-06-13 14:38:02.358000,1.434000,2.787519e+001
53,2018-06-13 14:38:02.690000,1.766000,2.786343e+001
63,2018-06-13 14:38:03.023000,2.099000,2.877518e+001
73,2018-06-13 14:38:03.357000,2.433000,3.077986e+001
83,2018-06-13 14:38:03.691000,2.767000,3.167301e+001
93,2018-06-13 14:38:04.023000,3.099000,3.240572e+001
103,2018-06-13 14:38:04.357000,3.433000,3.286697e+001
113,2018-06-13 14:38:04.691000,3.767000,3.334931e+001
123,2018-06-13 14:38:05.024000,4.100000,3.376789e+001
133,2018-06-13 14:38:05.357000,4.433000,3.409348e+001
143,2018-06-13 14:38:05.690000,4.766000,3.495271e+001
153,2018-06-13 14:38:06.024000,5.100000,3.498381e+001
163,2018-06-13 14:38:06.358000,5.434000,3.498840e+001
173,2018-06-13 14:38:06.690000,5.766000,3.538982e+001
183,2018-06-13 14:38:07.024000,6.100000,3.530680e+001
193,2018-06-13 14:38:07.357000,6.433000,3.595847e+001
203,2018-06-13 14:38:07.690000,6.766000,3.608256e+001
213,2018-06-13 14:38:08.022000,7.098000,3.584917e+001
223,2018-06-13 14:38:08.357000,7.433000,3.668686e+001
233,2018-06-13 14:38:08.690000,7.766000,3.626883e+001
243,2018-06-13 14:38:09.023000,8.099000,3.653835e+001
253,2018-06-13 14:38:09.357000,8.433000,3.716601e+001
263,2018-06-13 14:38:09.689000,8.765000,3.666594e+001
273,2018-06-13 14:38:10.024000,9.100000,3.683269e+001
283,2018-06-13 14:38:10.357000,9.433000,3.698098e+001
293,2018-06-13 14:38:10.689000,9.765000,3.657555e+001
303,2018-06-13 14:38:11.023000,10.099000,3.708713e+001
313,2018-06-13 14:38:11.356000,10.432000,3.693024e+001
323,2018-06-13 14:38:11.690000,10.766000,3.718447e+001
333,2018-06-13 14:38:12.024000,11.100000,3.737224e+001
343,2018-06-13 14:38:12.356000,11.432000,3.696505e+001
353,2018-06-13 14:38:12.689000,11.765000,3.716464e+001
363,2018-06-13 14:38:13.023000,12.099000,3.631249e+001
373,2018-06-13 14:38:13.355000,12.431000,3.558386e+001
383,2018-06-13 14:38:13.689000,12.765000,3.458522e+001
393,2018-06-13 14:38:14.023000,13.099000,3.387729e+001
403,2018-06-13 14:38:14.355000,13.431000,3.295329e+001
413,2018-06-13 14:38:14.690000,13.766000,3.216824e+001
423,2018-06-13 14:38:15.022000,14.098000,3.155224e+001
433,2018-06-13 14:38:15.355000,14.431000,3.100553e+001
443,2018-06-13 14:38:15.690000,14.766000,3.059057e+001
453,2018-06-13 14:38:16.022000,15.098000,3.022826e+001
463,2018-06-13 14:38:16.357000,15.433000,2.984642e+001
473,2018-06-13 14:38:16.689000,15.765000,2.944691e+001
483,2018-06-13 14:38:17.022000,16.098000,2.909962e+001
493,2018-06-13 14:38:17.355000,16.431000,2.889093e+001
503,2018-06-13 14:38:17.689000,16.765000,2.863923e+001
513,2018-06-13 14:38:18.022000,17.098000,2.848176e+001
523,2018-06-13 14:38:18.355000,17.431000,2.832993e+001
