frame,abstime,reltime,Line 1 [C]
0,2018-06-13 15:08:07.057000,0.000000,2.772279e+001
1,2018-06-13 15:08:07.090000,0.033000,2.772895e+001
2,2018-06-13 15:08:07.123000,0.066000,2.772996e+001
3,2018-06-13 15:08:07.157000,0.100000,2.774158e+001
4,2018-06-13 15:08:07.190000,0.133000,2.774814e+001
5,2018-06-13 15:08:07.223000,0.166000,2.773350e+001
6,2018-06-13 15:08:07.256000,0.199000,2.772946e+001
7,2018-06-13 15:08:07.289000,0.232000,2.773804e+001
8,2018-06-13 15:08:07.323000,0.266000,2.772845e+001
9,2018-06-13 15:08:07.356000,0.299000,2.771632e+001
10,2018-06-13 15:08:07.390000,0.333000,2.770147e+001
11,2018-06-13 15:08:07.423000,0.366000,2.770067e+001
12,2018-06-13 15:08:07.456000,0.399000,2.770016e+001
13,2018-06-13 15:08:07.489000,0.432000,2.770168e+001
14,2018-06-13 15:08:07.522000,0.465000,2.769763e+001
15,2018-06-13 15:08:07.556000,0.499000,2.769410e+001
16,2018-06-13 15:08:07.589000,0.532000,2.770370e+001
17,2018-06-13 15:08:07.623000,0.566000,2.771077e+001
18,2018-06-13 15:08:07.657000,0.600000,2.771531e+001
19,2018-06-13 15:08:07.690000,0.633000,2.770319e+001
20,2018-06-13 15:08:07.723000,0.666000,2.770251e+001
30,2018-06-13 15:08:08.057000,1.000000,2.769418e+001
40,2018-06-13 15:08:08.390000,1.333000,2.774098e+001
50,2018-06-13 15:08:08.722000,1.665000,2.773111e+001
60,2018-06-13 15:08:09.055000,1.998000,2.851820e+001
70,2018-06-13 15:08:09.389000,2.332000,2.853603e+001
80,2018-06-13 15:08:09.722000,2.665000,2.864371e+001
90,2018-06-13 15:08:10.055000,2.998000,2.915046e+001
100,2018-06-13 15:08:10.388000,3.331000,2.938859e+001
110,2018-06-13 15:08:10.722000,3.665000,2.942139e+001
120,2018-06-13 15:08:11.056000,3.999000,2.938330e+001
130,2018-06-13 15:08:11.388000,4.331000,2.924195e+001
140,2018-06-13 15:08:11.722000,4.665000,3.018338e+001
150,2018-06-13 15:08:12.055000,4.998000,3.111600e+001
160,2018-06-13 15:08:12.389000,5.332000,3.220460e+001
170,2018-06-13 15:08:12.722000,5.665000,3.303511e+001
180,2018-06-13 15:08:13.055000,5.998000,3.388333e+001
190,2018-06-13 15:08:13.389000,6.332000,3.458154e+001
200,2018-06-13 15:08:13.723000,6.666000,3.539868e+001
210,2018-06-13 15:08:14.056000,6.999000,3.581161e+001
220,2018-06-13 15:08:14.388000,7.331000,3.638883e+001
230,2018-06-13 15:08:14.722000,7.665000,3.672425e+001
240,2018-06-13 15:08:15.055000,7.998000,3.697359e+001
250,2018-06-13 15:08:15.387000,8.330000,3.722450e+001
260,2018-06-13 15:08:15.722000,8.665000,3.734040e+001
270,2018-06-13 15:08:16.055000,8.998000,3.784334e+001
280,2018-06-13 15:08:16.388000,9.331000,3.802472e+001
