frame,abstime,reltime,Line 1 [C]
0,2018-06-13 15:41:11.911000,0.000000,2.842518e+001
1,2018-06-13 15:41:11.944000,0.033000,2.843024e+001
2,2018-06-13 15:41:11.977000,0.066000,2.842441e+001
3,2018-06-13 15:41:12.011000,0.100000,2.842286e+001
4,2018-06-13 15:41:12.044000,0.133000,2.841856e+001
5,2018-06-13 15:41:12.077000,0.166000,2.840879e+001
6,2018-06-13 15:41:12.110000,0.199000,2.839477e+001
7,2018-06-13 15:41:12.144000,0.233000,2.838774e+001
8,2018-06-13 15:41:12.177000,0.266000,2.838851e+001
9,2018-06-13 15:41:12.210000,0.299000,2.838656e+001
10,2018-06-13 15:41:12.244000,0.333000,2.838569e+001
11,2018-06-13 15:41:12.277000,0.366000,2.837683e+001
12,2018-06-13 15:41:12.310000,0.399000,2.839674e+001
13,2018-06-13 15:41:12.343000,0.432000,2.837567e+001
14,2018-06-13 15:41:12.376000,0.465000,2.838974e+001
15,2018-06-13 15:41:12.410000,0.499000,2.838233e+001
16,2018-06-13 15:41:12.443000,0.532000,2.837179e+001
17,2018-06-13 15:41:12.477000,0.566000,2.836632e+001
18,2018-06-13 15:41:12.511000,0.600000,2.834914e+001
19,2018-06-13 15:41:12.544000,0.633000,2.835108e+001
20,2018-06-13 15:41:12.577000,0.666000,2.833632e+001
21,2018-06-13 15:41:12.610000,0.699000,2.832062e+001
22,2018-06-13 15:41:12.644000,0.733000,2.829562e+001
23,2018-06-13 15:41:12.677000,0.766000,2.829757e+001
24,2018-06-13 15:41:12.711000,0.800000,2.828938e+001
25,2018-06-13 15:41:12.745000,0.834000,2.828390e+001
26,2018-06-13 15:41:12.778000,0.867000,2.828780e+001
27,2018-06-13 15:41:12.811000,0.900000,2.827727e+001
28,2018-06-13 15:41:12.844000,0.933000,2.827922e+001
29,2018-06-13 15:41:12.878000,0.967000,2.828703e+001
30,2018-06-13 15:41:12.911000,1.000000,2.827699e+001
31,2018-06-13 15:41:12.944000,1.033000,2.826436e+001
32,2018-06-13 15:41:12.978000,1.067000,2.827375e+001
33,2018-06-13 15:41:13.011000,1.100000,2.827061e+001
34,2018-06-13 15:41:13.044000,1.133000,2.827218e+001
35,2018-06-13 15:41:13.077000,1.166000,2.829170e+001
36,2018-06-13 15:41:13.110000,1.199000,2.826985e+001
37,2018-06-13 15:41:13.144000,1.233000,2.825226e+001
38,2018-06-13 15:41:13.177000,1.266000,2.824328e+001
39,2018-06-13 15:41:13.211000,1.300000,2.824250e+001
40,2018-06-13 15:41:13.244000,1.333000,2.822279e+001
41,2018-06-13 15:41:13.277000,1.366000,2.821788e+001
42,2018-06-13 15:41:13.310000,1.399000,2.821905e+001
43,2018-06-13 15:41:13.343000,1.432000,2.820888e+001
44,2018-06-13 15:41:13.377000,1.466000,2.820224e+001
45,2018-06-13 15:41:13.410000,1.499000,2.821435e+001
46,2018-06-13 15:41:13.444000,1.533000,2.820419e+001
50,2018-06-13 15:41:13.577000,1.666000,2.820739e+001
60,2018-06-13 15:41:13.911000,2.000000,2.831506e+001
70,2018-06-13 15:41:14.244000,2.333000,2.919300e+001
80,2018-06-13 15:41:14.578000,2.667000,2.945814e+001
90,2018-06-13 15:41:14.911000,3.000000,2.994822e+001
100,2018-06-13 15:41:15.244000,3.333000,3.114464e+001
110,2018-06-13 15:41:15.577000,3.666000,3.222733e+001
120,2018-06-13 15:41:15.911000,4.000000,3.294071e+001
130,2018-06-13 15:41:16.244000,4.333000,3.339676e+001
140,2018-06-13 15:41:16.576000,4.665000,3.410733e+001
150,2018-06-13 15:41:16.910000,4.999000,3.510311e+001
160,2018-06-13 15:41:17.243000,5.332000,3.567348e+001
170,2018-06-13 15:41:17.576000,5.665000,3.633631e+001
180,2018-06-13 15:41:17.910000,5.999000,3.636028e+001
190,2018-06-13 15:41:18.243000,6.332000,3.676004e+001
200,2018-06-13 15:41:18.577000,6.666000,3.695242e+001
210,2018-06-13 15:41:18.910000,6.999000,3.715938e+001
220,2018-06-13 15:41:19.243000,7.332000,3.732524e+001
230,2018-06-13 15:41:19.577000,7.666000,3.719890e+001
240,2018-06-13 15:41:19.910000,7.999000,3.747368e+001
250,2018-06-13 15:41:20.243000,8.332000,3.738559e+001
260,2018-06-13 15:41:20.577000,8.666000,3.761410e+001
270,2018-06-13 15:41:20.909000,8.998000,3.797069e+001
280,2018-06-13 15:41:21.242000,9.331000,3.806735e+001
290,2018-06-13 15:41:21.577000,9.666000,3.756297e+001
300,2018-06-13 15:41:21.909000,9.998000,3.742299e+001
310,2018-06-13 15:41:22.243000,10.332000,3.672408e+001
320,2018-06-13 15:41:22.576000,10.665000,3.556962e+001
330,2018-06-13 15:41:22.908000,10.997000,3.473122e+001
340,2018-06-13 15:41:23.244000,11.333000,3.379734e+001
350,2018-06-13 15:41:23.576000,11.665000,3.326966e+001
360,2018-06-13 15:41:23.909000,11.998000,3.267783e+001
370,2018-06-13 15:41:24.243000,12.332000,3.224568e+001
380,2018-06-13 15:41:24.575000,12.664000,3.177382e+001
390,2018-06-13 15:41:24.910000,12.999000,3.130871e+001
400,2018-06-13 15:41:25.243000,13.332000,3.102338e+001
410,2018-06-13 15:41:25.575000,13.664000,3.069085e+001
420,2018-06-13 15:41:25.909000,13.998000,3.042581e+001
430,2018-06-13 15:41:26.242000,14.331000,3.013898e+001
440,2018-06-13 15:41:26.575000,14.664000,2.992288e+001
450,2018-06-13 15:41:26.909000,14.998000,2.969659e+001
460,2018-06-13 15:41:27.242000,15.331000,2.956223e+001
470,2018-06-13 15:41:27.576000,15.665000,3.092535e+001
480,2018-06-13 15:41:27.909000,15.998000,3.272738e+001
490,2018-06-13 15:41:28.243000,16.332000,3.363523e+001
500,2018-06-13 15:41:28.576000,16.665000,3.416175e+001
510,2018-06-13 15:41:28.909000,16.998000,3.462815e+001
520,2018-06-13 15:41:29.242000,17.331000,3.505334e+001
530,2018-06-13 15:41:29.576000,17.665000,3.536747e+001
540,2018-06-13 15:41:29.909000,17.998000,3.537264e+001
550,2018-06-13 15:41:30.242000,18.331000,3.574637e+001
560,2018-06-13 15:41:30.576000,18.665000,3.618043e+001
570,2018-06-13 15:41:30.909000,18.998000,3.640093e+001
580,2018-06-13 15:41:31.242000,19.331000,3.670565e+001
590,2018-06-13 15:41:31.574000,19.663000,3.708435e+001
600,2018-06-13 15:41:31.908000,19.997000,3.742395e+001
610,2018-06-13 15:41:32.241000,20.330000,3.702120e+001
620,2018-06-13 15:41:32.575000,20.664000,3.635660e+001
630,2018-06-13 15:41:32.908000,20.997000,3.615923e+001
640,2018-06-13 15:41:33.241000,21.330000,3.587327e+001
650,2018-06-13 15:41:33.575000,21.664000,3.481815e+001
660,2018-06-13 15:41:33.909000,21.998000,3.388601e+001
