frame,abstime,reltime,Line 1 [C]
0,2018-06-13 13:01:01.206000,0.000000,2.853445e+001
10,2018-06-13 13:01:01.538000,0.332000,2.852744e+001
20,2018-06-13 13:01:01.872000,0.666000,2.853746e+001
30,2018-06-13 13:01:02.205000,0.999000,2.853295e+001
40,2018-06-13 13:01:02.539000,1.333000,2.850838e+001
50,2018-06-13 13:01:02.872000,1.666000,2.851090e+001
60,2018-06-13 13:01:03.205000,1.999000,2.850287e+001
70,2018-06-13 13:01:03.539000,2.333000,2.850638e+001
80,2018-06-13 13:01:03.872000,2.666000,2.849886e+001
90,2018-06-13 13:01:04.205000,2.999000,2.852142e+001
100,2018-06-13 13:01:04.539000,3.333000,2.854648e+001
110,2018-06-13 13:01:04.872000,3.666000,2.851440e+001
120,2018-06-13 13:01:05.205000,3.999000,2.843366e+001
130,2018-06-13 13:01:05.538000,4.332000,2.851438e+001
140,2018-06-13 13:01:05.872000,4.666000,2.859001e+001
150,2018-06-13 13:01:06.206000,5.000000,2.864759e+001
160,2018-06-13 13:01:06.539000,5.333000,2.869603e+001
170,2018-06-13 13:01:06.871000,5.665000,2.918087e+001
180,2018-06-13 13:01:07.205000,5.999000,2.949915e+001
190,2018-06-13 13:01:07.539000,6.333000,2.985231e+001
200,2018-06-13 13:01:07.871000,6.665000,2.992703e+001
210,2018-06-13 13:01:08.206000,7.000000,2.986382e+001
220,2018-06-13 13:01:08.538000,7.332000,2.990816e+001
230,2018-06-13 13:01:08.871000,7.665000,2.987584e+001
240,2018-06-13 13:01:09.205000,7.999000,3.003152e+001
250,2018-06-13 13:01:09.537000,8.331000,2.997862e+001
260,2018-06-13 13:01:09.872000,8.666000,3.011310e+001
270,2018-06-13 13:01:10.205000,8.999000,3.052362e+001
280,2018-06-13 13:01:10.537000,9.331000,3.062476e+001
290,2018-06-13 13:01:10.873000,9.667000,3.077128e+001
300,2018-06-13 13:01:11.205000,9.999000,3.070898e+001
310,2018-06-13 13:01:11.538000,10.332000,3.107831e+001
320,2018-06-13 13:01:11.871000,10.665000,3.108950e+001
330,2018-06-13 13:01:12.204000,10.998000,3.084347e+001
340,2018-06-13 13:01:12.537000,11.331000,3.105497e+001
350,2018-06-13 13:01:12.871000,11.665000,3.140849e+001
360,2018-06-13 13:01:13.204000,11.998000,3.154864e+001
370,2018-06-13 13:01:13.538000,12.332000,3.166422e+001
380,2018-06-13 13:01:13.871000,12.665000,3.152448e+001
390,2018-06-13 13:01:14.204000,12.998000,3.150874e+001
400,2018-06-13 13:01:14.538000,13.332000,3.179220e+001
410,2018-06-13 13:01:14.871000,13.665000,3.168331e+001
420,2018-06-13 13:01:15.204000,13.998000,3.176331e+001
430,2018-06-13 13:01:15.538000,14.332000,3.183187e+001
440,2018-06-13 13:01:15.871000,14.665000,3.183398e+001
450,2018-06-13 13:01:16.204000,14.998000,3.200966e+001
460,2018-06-13 13:01:16.536000,15.330000,3.250496e+001
470,2018-06-13 13:01:16.870000,15.664000,3.267440e+001
480,2018-06-13 13:01:17.204000,15.998000,3.295038e+001
490,2018-06-13 13:01:17.537000,16.331000,3.304099e+001
500,2018-06-13 13:01:17.871000,16.665000,3.299796e+001
510,2018-06-13 13:01:18.204000,16.998000,3.294716e+001
520,2018-06-13 13:01:18.537000,17.331000,3.279153e+001
530,2018-06-13 13:01:18.871000,17.665000,3.299458e+001
540,2018-06-13 13:01:19.203000,17.997000,3.310449e+001
550,2018-06-13 13:01:19.537000,18.331000,3.337135e+001
560,2018-06-13 13:01:19.870000,18.664000,3.395391e+001
570,2018-06-13 13:01:20.204000,18.998000,3.442313e+001
580,2018-06-13 13:01:20.537000,19.331000,3.453035e+001
590,2018-06-13 13:01:20.870000,19.664000,3.463175e+001
600,2018-06-13 13:01:21.204000,19.998000,3.468195e+001
610,2018-06-13 13:01:21.538000,20.332000,3.469680e+001
620,2018-06-13 13:01:21.870000,20.664000,3.468537e+001
630,2018-06-13 13:01:22.203000,20.997000,3.489500e+001
640,2018-06-13 13:01:22.537000,21.331000,3.496937e+001
650,2018-06-13 13:01:22.870000,21.664000,3.509035e+001
660,2018-06-13 13:01:23.202000,21.996000,3.554606e+001
670,2018-06-13 13:01:23.536000,22.330000,3.599918e+001
680,2018-06-13 13:01:23.869000,22.663000,3.605547e+001
690,2018-06-13 13:01:24.203000,22.997000,3.624119e+001
700,2018-06-13 13:01:24.537000,23.331000,3.653433e+001
710,2018-06-13 13:01:24.869000,23.663000,3.662583e+001
720,2018-06-13 13:01:25.204000,23.998000,3.671731e+001
730,2018-06-13 13:01:25.537000,24.331000,3.668139e+001
740,2018-06-13 13:01:25.869000,24.663000,3.660676e+001
750,2018-06-13 13:01:26.203000,24.997000,3.630958e+001
760,2018-06-13 13:01:26.536000,25.330000,3.585228e+001
770,2018-06-13 13:01:26.868000,25.662000,3.511046e+001
780,2018-06-13 13:01:27.203000,25.997000,3.435639e+001
790,2018-06-13 13:01:27.536000,26.330000,3.371414e+001
800,2018-06-13 13:01:27.869000,26.663000,3.310065e+001
810,2018-06-13 13:01:28.203000,26.997000,3.256618e+001
820,2018-06-13 13:01:28.535000,27.329000,3.209767e+001
830,2018-06-13 13:01:28.869000,27.663000,3.165652e+001
840,2018-06-13 13:01:29.203000,27.997000,3.131840e+001
850,2018-06-13 13:01:29.535000,28.329000,3.100115e+001
860,2018-06-13 13:01:29.870000,28.664000,3.074067e+001
870,2018-06-13 13:01:30.203000,28.997000,3.049757e+001
880,2018-06-13 13:01:30.536000,29.330000,3.026619e+001
890,2018-06-13 13:01:30.870000,29.664000,3.013225e+001
900,2018-06-13 13:01:31.202000,29.996000,3.000425e+001
910,2018-06-13 13:01:31.536000,30.330000,2.985785e+001
920,2018-06-13 13:01:31.868000,30.662000,2.977176e+001
930,2018-06-13 13:01:32.202000,30.996000,2.967910e+001
940,2018-06-13 13:01:32.535000,31.329000,2.957446e+001
950,2018-06-13 13:01:32.868000,31.662000,2.952834e+001
960,2018-06-13 13:01:33.202000,31.996000,2.941215e+001
970,2018-06-13 13:01:33.535000,32.329000,2.932020e+001
980,2018-06-13 13:01:33.869000,32.663000,2.923906e+001
990,2018-06-13 13:01:34.202000,32.996000,2.912600e+001
1000,2018-06-13 13:01:34.535000,33.329000,2.902479e+001
1010,2018-06-13 13:01:34.869000,33.663000,2.906024e+001
1020,2018-06-13 13:01:35.202000,33.996000,2.898840e+001
1030,2018-06-13 13:01:35.536000,34.330000,2.894952e+001
1040,2018-06-13 13:01:35.869000,34.663000,2.896645e+001
1050,2018-06-13 13:01:36.202000,34.996000,2.892450e+001
1060,2018-06-13 13:01:36.535000,35.329000,2.906725e+001
1070,2018-06-13 13:01:36.868000,35.662000,3.033524e+001
1080,2018-06-13 13:01:37.201000,35.995000,3.133952e+001
1090,2018-06-13 13:01:37.534000,36.328000,3.192780e+001
1100,2018-06-13 13:01:37.869000,36.663000,3.257225e+001
1110,2018-06-13 13:01:38.202000,36.996000,3.304640e+001
1120,2018-06-13 13:01:38.534000,37.328000,3.339711e+001
1130,2018-06-13 13:01:38.868000,37.662000,3.370565e+001
1140,2018-06-13 13:01:39.201000,37.995000,3.383896e+001
1150,2018-06-13 13:01:39.535000,38.329000,3.424141e+001
1160,2018-06-13 13:01:39.869000,38.663000,3.441520e+001
1170,2018-06-13 13:01:40.201000,38.995000,3.466975e+001
1180,2018-06-13 13:01:40.535000,39.329000,3.508083e+001
1190,2018-06-13 13:01:40.868000,39.662000,3.531903e+001
1200,2018-06-13 13:01:41.201000,39.995000,3.544376e+001
1210,2018-06-13 13:01:41.535000,40.329000,3.549442e+001
1220,2018-06-13 13:01:41.868000,40.662000,3.523749e+001
1230,2018-06-13 13:01:42.200000,40.994000,3.512985e+001
1240,2018-06-13 13:01:42.535000,41.329000,3.497097e+001
1250,2018-06-13 13:01:42.867000,41.661000,3.517452e+001
1260,2018-06-13 13:01:43.200000,41.994000,3.514425e+001
1270,2018-06-13 13:01:43.535000,42.329000,3.505705e+001
1280,2018-06-13 13:01:43.867000,42.661000,3.497910e+001
1290,2018-06-13 13:01:44.201000,42.995000,3.484673e+001
1300,2018-06-13 13:01:44.534000,43.328000,3.462063e+001
1310,2018-06-13 13:01:44.866000,43.660000,3.404711e+001
1320,2018-06-13 13:01:45.202000,43.996000,3.339720e+001
