frame,abstime,reltime,Line 1 [C]
1,2018-06-20 09:50:53.475000,0.000000,2.794592e+001
2,2018-06-20 09:50:53.550000,0.075000,2.793919e+001
3,2018-06-20 09:50:53.600000,0.125000,2.793287e+001
4,2018-06-20 09:50:53.663000,0.188000,2.792614e+001
5,2018-06-20 09:50:53.738000,0.263000,2.793444e+001
6,2018-06-20 09:50:53.789000,0.314000,2.794235e+001
7,2018-06-20 09:50:53.853000,0.378000,2.792733e+001
8,2018-06-20 09:50:53.916000,0.441000,2.792377e+001
9,2018-06-20 09:50:53.981000,0.506000,2.793049e+001
10,2018-06-20 09:50:54.036000,0.561000,2.792140e+001
11,2018-06-20 09:50:54.099000,0.624000,2.792970e+001
12,2018-06-20 09:50:54.163000,0.688000,2.793722e+001
13,2018-06-20 09:50:54.226000,0.751000,2.793880e+001
14,2018-06-20 09:50:54.291000,0.816000,2.793880e+001
15,2018-06-20 09:50:54.351000,0.876000,2.793287e+001
16,2018-06-20 09:50:54.414000,0.939000,2.793840e+001
17,2018-06-20 09:50:54.478000,1.003000,2.793603e+001
18,2018-06-20 09:50:54.541000,1.066000,2.794236e+001
19,2018-06-20 09:50:54.598000,1.123000,2.795698e+001
20,2018-06-20 09:50:54.661000,1.186000,2.796410e+001
21,2018-06-20 09:50:54.723000,1.248000,2.795540e+001
22,2018-06-20 09:50:54.792000,1.317000,2.796449e+001
23,2018-06-20 09:50:54.847000,1.372000,2.796687e+001
24,2018-06-20 09:50:54.915000,1.440000,2.797161e+001
25,2018-06-20 09:50:54.978000,1.503000,2.796963e+001
26,2018-06-20 09:50:55.041000,1.566000,2.797240e+001
27,2018-06-20 09:50:55.101000,1.626000,2.796686e+001
28,2018-06-20 09:50:55.160000,1.685000,2.797635e+001
29,2018-06-20 09:50:55.226000,1.751000,2.796963e+001
30,2018-06-20 09:50:55.286000,1.811000,2.797952e+001
31,2018-06-20 09:50:55.349000,1.874000,2.798782e+001
32,2018-06-20 09:50:55.416000,1.941000,2.797991e+001
33,2018-06-20 09:50:55.476000,2.001000,2.799295e+001
34,2018-06-20 09:50:55.539000,2.064000,2.799809e+001
35,2018-06-20 09:50:55.598000,2.123000,2.801073e+001
36,2018-06-20 09:50:55.661000,2.186000,2.800836e+001
37,2018-06-20 09:50:55.723000,2.248000,2.802338e+001
38,2018-06-20 09:50:55.786000,2.311000,2.801705e+001
39,2018-06-20 09:50:55.849000,2.374000,2.802258e+001
40,2018-06-20 09:50:55.909000,2.434000,2.800718e+001
41,2018-06-20 09:50:55.972000,2.497000,2.799414e+001
42,2018-06-20 09:50:56.036000,2.561000,2.800125e+001
43,2018-06-20 09:50:56.105000,2.630000,2.797991e+001
44,2018-06-20 09:50:56.158000,2.683000,2.797991e+001
45,2018-06-20 09:50:56.221000,2.746000,2.797516e+001
46,2018-06-20 09:50:56.284000,2.809000,2.796608e+001
47,2018-06-20 09:50:56.348000,2.873000,2.797161e+001
48,2018-06-20 09:50:56.411000,2.936000,2.798189e+001
49,2018-06-20 09:50:56.474000,2.999000,2.797596e+001
50,2018-06-20 09:50:56.537000,3.062000,2.798149e+001
51,2018-06-20 09:50:56.595000,3.120000,2.795462e+001
52,2018-06-20 09:50:56.659000,3.184000,2.794354e+001
53,2018-06-20 09:50:56.720000,3.245000,2.793247e+001
54,2018-06-20 09:50:56.783000,3.308000,2.792496e+001
55,2018-06-20 09:50:56.850000,3.375000,2.792891e+001
56,2018-06-20 09:50:56.909000,3.434000,2.793049e+001
57,2018-06-20 09:50:56.973000,3.498000,2.794275e+001
58,2018-06-20 09:50:57.036000,3.561000,2.794473e+001
59,2018-06-20 09:50:57.096000,3.621000,2.794038e+001
60,2018-06-20 09:50:57.159000,3.684000,2.794711e+001
61,2018-06-20 09:50:57.220000,3.745000,2.793010e+001
62,2018-06-20 09:50:57.284000,3.809000,2.795699e+001
63,2018-06-20 09:50:57.344000,3.869000,2.798545e+001
64,2018-06-20 09:50:57.407000,3.932000,2.798149e+001
65,2018-06-20 09:50:57.470000,3.995000,2.799966e+001
66,2018-06-20 09:50:57.533000,4.058000,2.802456e+001
67,2018-06-20 09:50:57.601000,4.126000,2.805063e+001
68,2018-06-20 09:50:57.656000,4.181000,2.806682e+001
69,2018-06-20 09:50:57.719000,4.244000,2.806406e+001
70,2018-06-20 09:50:57.781000,4.306000,2.805655e+001
71,2018-06-20 09:50:57.846000,4.371000,2.806761e+001
72,2018-06-20 09:50:57.959000,4.484000,2.808064e+001
73,2018-06-20 09:50:57.987000,4.512000,2.807314e+001
74,2018-06-20 09:50:58.029000,4.554000,2.807551e+001
75,2018-06-20 09:50:58.092000,4.617000,2.805932e+001
76,2018-06-20 09:50:58.155000,4.680000,2.806801e+001
77,2018-06-20 09:50:58.219000,4.744000,2.807275e+001
78,2018-06-20 09:50:58.282000,4.807000,2.805378e+001
79,2018-06-20 09:50:58.345000,4.870000,2.805023e+001
80,2018-06-20 09:50:58.412000,4.937000,2.803759e+001
81,2018-06-20 09:50:58.471000,4.996000,2.804193e+001
82,2018-06-20 09:50:58.535000,5.060000,2.803482e+001
83,2018-06-20 09:50:58.598000,5.123000,2.803443e+001
84,2018-06-20 09:50:58.655000,5.180000,2.802889e+001
85,2018-06-20 09:50:58.718000,5.243000,2.803918e+001
86,2018-06-20 09:50:58.779000,5.304000,2.804628e+001
87,2018-06-20 09:50:58.843000,5.368000,2.804273e+001
88,2018-06-20 09:50:58.906000,5.431000,2.804470e+001
89,2018-06-20 09:50:58.969000,5.494000,2.806918e+001
90,2018-06-20 09:50:59.035000,5.560000,2.808813e+001
91,2018-06-20 09:50:59.091000,5.616000,2.809445e+001
92,2018-06-20 09:50:59.162000,5.687000,2.809208e+001
93,2018-06-20 09:50:59.216000,5.741000,2.810906e+001
94,2018-06-20 09:50:59.277000,5.802000,2.810788e+001
95,2018-06-20 09:50:59.340000,5.865000,2.811261e+001
96,2018-06-20 09:50:59.403000,5.928000,2.811734e+001
97,2018-06-20 09:50:59.467000,5.992000,2.810906e+001
98,2018-06-20 09:50:59.530000,6.055000,2.812840e+001
99,2018-06-20 09:50:59.592000,6.117000,2.811380e+001
100,2018-06-20 09:50:59.652000,6.177000,2.812643e+001
101,2018-06-20 09:50:59.717000,6.242000,2.809366e+001
102,2018-06-20 09:50:59.777000,6.302000,2.807866e+001
103,2018-06-20 09:50:59.840000,6.365000,2.806641e+001
104,2018-06-20 09:50:59.903000,6.428000,2.807313e+001
105,2018-06-20 09:50:59.966000,6.491000,2.806602e+001
106,2018-06-20 09:51:00.029000,6.554000,2.805023e+001
107,2018-06-20 09:51:00.093000,6.618000,2.802732e+001
108,2018-06-20 09:51:00.156000,6.681000,2.803087e+001
109,2018-06-20 09:51:00.213000,6.738000,2.802850e+001
110,2018-06-20 09:51:00.276000,6.801000,2.802930e+001
111,2018-06-20 09:51:00.343000,6.868000,2.802535e+001
112,2018-06-20 09:51:00.402000,6.927000,2.803680e+001
113,2018-06-20 09:51:00.468000,6.993000,2.802654e+001
114,2018-06-20 09:51:00.533000,7.058000,2.800164e+001
115,2018-06-20 09:51:00.588000,7.113000,2.797002e+001
116,2018-06-20 09:51:00.659000,7.184000,2.795974e+001
117,2018-06-20 09:51:00.715000,7.240000,2.795184e+001
118,2018-06-20 09:51:00.776000,7.301000,2.795856e+001
119,2018-06-20 09:51:00.839000,7.364000,2.797358e+001
120,2018-06-20 09:51:00.902000,7.427000,2.798109e+001
121,2018-06-20 09:51:00.963000,7.488000,2.799216e+001
122,2018-06-20 09:51:01.027000,7.552000,2.800125e+001
123,2018-06-20 09:51:01.090000,7.615000,2.799532e+001
124,2018-06-20 09:51:01.153000,7.678000,2.798425e+001
125,2018-06-20 09:51:01.216000,7.741000,2.799572e+001
126,2018-06-20 09:51:01.275000,7.800000,2.798820e+001
127,2018-06-20 09:51:01.339000,7.864000,2.797319e+001
128,2018-06-20 09:51:01.402000,7.927000,2.798267e+001
129,2018-06-20 09:51:01.502000,8.027000,2.796133e+001
130,2018-06-20 09:51:01.546000,8.071000,2.797002e+001
131,2018-06-20 09:51:01.588000,8.113000,2.797437e+001
132,2018-06-20 09:51:01.650000,8.175000,2.797872e+001
133,2018-06-20 09:51:01.713000,8.238000,2.798623e+001
134,2018-06-20 09:51:01.774000,8.299000,2.796687e+001
135,2018-06-20 09:51:01.849000,8.374000,2.796923e+001
136,2018-06-20 09:51:01.900000,8.425000,2.962556e+001
137,2018-06-20 09:51:02.134000,8.659000,2.944783e+001
138,2018-06-20 09:51:02.160000,8.685000,2.941620e+001
139,2018-06-20 09:51:02.212000,8.737000,2.937477e+001
140,2018-06-20 09:51:02.274000,8.799000,2.937271e+001
141,2018-06-20 09:51:02.337000,8.862000,2.935274e+001
142,2018-06-20 09:51:02.400000,8.925000,2.931221e+001
143,2018-06-20 09:51:02.463000,8.988000,2.928139e+001
144,2018-06-20 09:51:02.555000,9.080000,2.922829e+001
145,2018-06-20 09:51:02.590000,9.115000,2.920773e+001
146,2018-06-20 09:51:02.649000,9.174000,2.919234e+001
147,2018-06-20 09:51:02.710000,9.235000,2.916749e+001
148,2018-06-20 09:51:02.778000,9.303000,2.913054e+001
149,2018-06-20 09:51:02.834000,9.359000,2.911884e+001
150,2018-06-20 09:51:02.949000,9.474000,2.905533e+001
151,2018-06-20 09:51:02.976000,9.501000,2.903725e+001
152,2018-06-20 09:51:03.022000,9.547000,2.902398e+001
153,2018-06-20 09:51:03.085000,9.610000,2.898245e+001
154,2018-06-20 09:51:03.157000,9.682000,2.918233e+001
155,2018-06-20 09:51:03.345000,9.870000,3.009603e+001
156,2018-06-20 09:51:03.581000,10.106000,3.009025e+001
157,2018-06-20 09:51:03.607000,10.132000,3.006845e+001
158,2018-06-20 09:51:03.650000,10.175000,3.004822e+001
159,2018-06-20 09:51:03.709000,10.234000,3.000184e+001
160,2018-06-20 09:51:03.772000,10.297000,2.994800e+001
161,2018-06-20 09:51:03.835000,10.360000,2.993281e+001
162,2018-06-20 09:51:03.898000,10.423000,2.991860e+001
163,2018-06-20 09:51:03.963000,10.488000,2.990336e+001
164,2018-06-20 09:51:04.027000,10.552000,2.982832e+001
165,2018-06-20 09:51:04.090000,10.615000,2.978751e+001
166,2018-06-20 09:51:04.145000,10.670000,2.976996e+001
167,2018-06-20 09:51:04.208000,10.733000,2.971819e+001
168,2018-06-20 09:51:04.271000,10.796000,2.969329e+001
169,2018-06-20 09:51:04.334000,10.859000,2.967340e+001
170,2018-06-20 09:51:04.397000,10.922000,2.966070e+001
171,2018-06-20 09:51:04.461000,10.986000,2.960718e+001
172,2018-06-20 09:51:04.524000,11.049000,2.954708e+001
173,2018-06-20 09:51:04.604000,11.129000,2.951141e+001
174,2018-06-20 09:51:04.646000,11.171000,2.948019e+001
175,2018-06-20 09:51:04.747000,11.272000,2.940691e+001
176,2018-06-20 09:51:04.773000,11.298000,2.938985e+001
177,2018-06-20 09:51:04.832000,11.357000,2.937271e+001
178,2018-06-20 09:51:04.895000,11.420000,2.932785e+001
179,2018-06-20 09:51:04.958000,11.483000,2.927581e+001
180,2018-06-20 09:51:05.021000,11.546000,2.926076e+001
181,2018-06-20 09:51:05.083000,11.608000,2.924856e+001
182,2018-06-20 09:51:05.144000,11.669000,2.921579e+001
183,2018-06-20 09:51:05.207000,11.732000,2.919072e+001
184,2018-06-20 09:51:05.270000,11.795000,2.919609e+001
185,2018-06-20 09:51:05.332000,11.857000,2.916259e+001
186,2018-06-20 09:51:05.396000,11.921000,2.913935e+001
187,2018-06-20 09:51:05.471000,11.996000,2.909360e+001
188,2018-06-20 09:51:05.522000,12.047000,2.909444e+001
189,2018-06-20 09:51:05.585000,12.110000,2.910602e+001
190,2018-06-20 09:51:05.648000,12.173000,2.907081e+001
191,2018-06-20 09:51:05.706000,12.231000,2.905403e+001
192,2018-06-20 09:51:05.769000,12.294000,2.903496e+001
193,2018-06-20 09:51:05.837000,12.362000,2.903457e+001
194,2018-06-20 09:51:05.893000,12.418000,2.903384e+001
195,2018-06-20 09:51:05.956000,12.481000,2.900260e+001
196,2018-06-20 09:51:06.020000,12.545000,2.897243e+001
197,2018-06-20 09:51:06.082000,12.607000,2.897248e+001
198,2018-06-20 09:51:06.144000,12.669000,2.893730e+001
199,2018-06-20 09:51:06.207000,12.732000,2.891930e+001
200,2018-06-20 09:51:06.270000,12.795000,2.889754e+001
201,2018-06-20 09:51:06.332000,12.857000,2.886235e+001
202,2018-06-20 09:51:06.395000,12.920000,2.887620e+001
203,2018-06-20 09:51:06.457000,12.982000,2.885280e+001
204,2018-06-20 09:51:06.520000,13.045000,2.882254e+001
