frame,abstime,reltime,Line 1 [C]
1,2018-06-20 09:31:35.107000,0.000000,2.781964e+001
2,2018-06-20 09:31:35.177000,0.070000,2.781964e+001
3,2018-06-20 09:31:35.235000,0.128000,2.781964e+001
4,2018-06-20 09:31:35.298000,0.191000,2.781964e+001
5,2018-06-20 09:31:35.361000,0.254000,2.781964e+001
6,2018-06-20 09:31:35.424000,0.317000,2.781964e+001
7,2018-06-20 09:31:35.496000,0.389000,2.781964e+001
8,2018-06-20 09:31:35.542000,0.435000,2.781964e+001
9,2018-06-20 09:31:35.606000,0.499000,2.781964e+001
10,2018-06-20 09:31:35.681000,0.574000,2.781964e+001
11,2018-06-20 09:31:35.730000,0.623000,2.781964e+001
12,2018-06-20 09:31:35.794000,0.687000,2.781964e+001
13,2018-06-20 09:31:35.876000,0.769000,2.781056e+001
14,2018-06-20 09:31:35.921000,0.814000,2.779882e+001
15,2018-06-20 09:31:35.979000,0.872000,2.780299e+001
16,2018-06-20 09:31:36.042000,0.935000,2.779844e+001
17,2018-06-20 09:31:36.106000,0.999000,2.779201e+001
18,2018-06-20 09:31:36.220000,1.113000,2.780412e+001
19,2018-06-20 09:31:36.247000,1.140000,2.779466e+001
20,2018-06-20 09:31:36.307000,1.200000,2.779087e+001
21,2018-06-20 09:31:36.354000,1.247000,2.779807e+001
22,2018-06-20 09:31:36.418000,1.311000,2.779163e+001
23,2018-06-20 09:31:36.481000,1.374000,2.780261e+001
24,2018-06-20 09:31:36.544000,1.437000,2.779655e+001
25,2018-06-20 09:31:36.605000,1.498000,2.779314e+001
26,2018-06-20 09:31:36.667000,1.560000,2.780072e+001
27,2018-06-20 09:31:36.728000,1.621000,2.779617e+001
28,2018-06-20 09:31:36.791000,1.684000,2.780980e+001
29,2018-06-20 09:31:36.854000,1.747000,2.778822e+001
30,2018-06-20 09:31:36.917000,1.810000,2.778519e+001
31,2018-06-20 09:31:36.980000,1.873000,2.778897e+001
32,2018-06-20 09:31:37.044000,1.937000,2.778556e+001
33,2018-06-20 09:31:37.103000,1.996000,2.778746e+001
34,2018-06-20 09:31:37.164000,2.057000,2.778367e+001
35,2018-06-20 09:31:37.227000,2.120000,2.779920e+001
36,2018-06-20 09:31:37.289000,2.182000,2.780905e+001
37,2018-06-20 09:31:37.353000,2.246000,2.780753e+001
38,2018-06-20 09:31:37.416000,2.309000,2.781397e+001
39,2018-06-20 09:31:37.478000,2.371000,2.781813e+001
40,2018-06-20 09:31:37.541000,2.434000,2.780980e+001
41,2018-06-20 09:31:37.602000,2.495000,2.781700e+001
42,2018-06-20 09:31:37.666000,2.559000,2.780450e+001
43,2018-06-20 09:31:37.726000,2.619000,2.781018e+001
44,2018-06-20 09:31:37.789000,2.682000,2.780791e+001
45,2018-06-20 09:31:37.852000,2.745000,2.779920e+001
46,2018-06-20 09:31:37.915000,2.808000,2.780375e+001
47,2018-06-20 09:31:37.978000,2.871000,2.780753e+001
48,2018-06-20 09:31:38.041000,2.934000,2.781132e+001
49,2018-06-20 09:31:38.105000,2.998000,2.780829e+001
50,2018-06-20 09:31:38.162000,3.055000,2.781776e+001
51,2018-06-20 09:31:38.225000,3.118000,2.781397e+001
52,2018-06-20 09:31:38.288000,3.181000,2.782306e+001
53,2018-06-20 09:31:38.351000,3.244000,2.781245e+001
54,2018-06-20 09:31:38.415000,3.308000,2.782230e+001
55,2018-06-20 09:31:38.478000,3.371000,2.782836e+001
56,2018-06-20 09:31:38.537000,3.430000,2.781965e+001
57,2018-06-20 09:31:38.600000,3.493000,2.781662e+001
58,2018-06-20 09:31:38.663000,3.556000,2.782381e+001
59,2018-06-20 09:31:38.726000,3.619000,2.783631e+001
60,2018-06-20 09:31:38.801000,3.694000,2.783858e+001
61,2018-06-20 09:31:38.852000,3.745000,2.782571e+001
62,2018-06-20 09:31:38.915000,3.808000,2.781775e+001
63,2018-06-20 09:31:38.978000,3.871000,2.781586e+001
64,2018-06-20 09:31:39.042000,3.935000,2.781473e+001
65,2018-06-20 09:31:39.105000,3.998000,2.783404e+001
66,2018-06-20 09:31:39.168000,4.061000,2.783328e+001
67,2018-06-20 09:31:39.224000,4.117000,2.784160e+001
68,2018-06-20 09:31:39.287000,4.180000,2.782987e+001
69,2018-06-20 09:31:39.351000,4.244000,2.783403e+001
70,2018-06-20 09:31:39.419000,4.312000,2.782533e+001
71,2018-06-20 09:31:39.474000,4.367000,2.782911e+001
72,2018-06-20 09:31:39.537000,4.430000,2.781586e+001
73,2018-06-20 09:31:39.598000,4.491000,2.781776e+001
74,2018-06-20 09:31:39.679000,4.572000,2.781435e+001
75,2018-06-20 09:31:39.722000,4.615000,2.780867e+001
76,2018-06-20 09:31:39.785000,4.678000,2.780602e+001
77,2018-06-20 09:31:39.848000,4.741000,2.781473e+001
78,2018-06-20 09:31:39.916000,4.809000,2.782570e+001
79,2018-06-20 09:31:39.976000,4.869000,2.783403e+001
80,2018-06-20 09:31:40.039000,4.932000,2.784729e+001
81,2018-06-20 09:31:40.102000,4.995000,2.785145e+001
82,2018-06-20 09:31:40.161000,5.054000,2.786621e+001
83,2018-06-20 09:31:40.236000,5.129000,2.786242e+001
84,2018-06-20 09:31:40.286000,5.179000,2.784994e+001
85,2018-06-20 09:31:40.347000,5.240000,2.787113e+001
86,2018-06-20 09:31:40.410000,5.303000,2.788854e+001
87,2018-06-20 09:31:40.473000,5.366000,2.791351e+001
88,2018-06-20 09:31:40.536000,5.429000,2.792978e+001
89,2018-06-20 09:31:40.600000,5.493000,2.793318e+001
90,2018-06-20 09:31:40.659000,5.552000,2.796797e+001
91,2018-06-20 09:31:40.727000,5.620000,2.799972e+001
92,2018-06-20 09:31:40.794000,5.687000,2.801521e+001
93,2018-06-20 09:31:40.847000,5.740000,2.807150e+001
94,2018-06-20 09:31:40.911000,5.804000,2.807717e+001
95,2018-06-20 09:31:40.974000,5.867000,2.811870e+001
96,2018-06-20 09:31:41.049000,5.942000,2.815494e+001
97,2018-06-20 09:31:41.100000,5.993000,2.819002e+001
98,2018-06-20 09:31:41.183000,6.076000,2.823189e+001
99,2018-06-20 09:31:41.222000,6.115000,2.824660e+001
100,2018-06-20 09:31:41.285000,6.178000,2.829371e+001
101,2018-06-20 09:31:41.348000,6.241000,2.828240e+001
102,2018-06-20 09:31:41.411000,6.304000,2.832686e+001
103,2018-06-20 09:31:41.470000,6.363000,2.832535e+001
104,2018-06-20 09:31:41.534000,6.427000,2.832724e+001
105,2018-06-20 09:31:41.597000,6.490000,2.831593e+001
106,2018-06-20 09:31:41.657000,6.550000,2.829936e+001
107,2018-06-20 09:31:41.720000,6.613000,2.828541e+001
108,2018-06-20 09:31:41.782000,6.675000,2.830162e+001
109,2018-06-20 09:31:41.846000,6.739000,2.827902e+001
110,2018-06-20 09:31:41.909000,6.802000,2.826659e+001
111,2018-06-20 09:31:41.971000,6.864000,2.825113e+001
112,2018-06-20 09:31:42.032000,6.925000,2.820854e+001
113,2018-06-20 09:31:42.095000,6.988000,2.818251e+001
114,2018-06-20 09:31:42.161000,7.054000,2.819005e+001
115,2018-06-20 09:31:42.218000,7.111000,2.817761e+001
116,2018-06-20 09:31:42.281000,7.174000,2.815496e+001
117,2018-06-20 09:31:42.344000,7.237000,2.816440e+001
118,2018-06-20 09:31:42.407000,7.300000,2.813157e+001
119,2018-06-20 09:31:42.471000,7.364000,2.809494e+001
120,2018-06-20 09:31:42.536000,7.429000,2.809796e+001
121,2018-06-20 09:31:42.597000,7.490000,2.808815e+001
122,2018-06-20 09:31:42.658000,7.551000,2.812289e+001
123,2018-06-20 09:31:42.719000,7.612000,2.817572e+001
124,2018-06-20 09:31:42.782000,7.675000,2.834081e+001
125,2018-06-20 09:31:42.845000,7.738000,2.843532e+001
126,2018-06-20 09:31:42.908000,7.801000,2.853303e+001
127,2018-06-20 09:31:42.971000,7.864000,2.869869e+001
128,2018-06-20 09:31:43.034000,7.927000,2.872235e+001
129,2018-06-20 09:31:43.098000,7.991000,2.875834e+001
130,2018-06-20 09:31:43.155000,8.048000,2.875048e+001
131,2018-06-20 09:31:43.218000,8.111000,2.880253e+001
132,2018-06-20 09:31:43.280000,8.173000,2.891574e+001
133,2018-06-20 09:31:43.343000,8.236000,2.898684e+001
134,2018-06-20 09:31:43.407000,8.300000,2.904330e+001
135,2018-06-20 09:31:43.481000,8.374000,2.903721e+001
136,2018-06-20 09:31:43.529000,8.422000,2.903571e+001
137,2018-06-20 09:31:43.592000,8.485000,2.902473e+001
138,2018-06-20 09:31:43.653000,8.546000,2.910206e+001
