frame,abstime,reltime,Line 1 [C]
1,2018-06-20 09:38:02.827000,0.000000,2.792527e+001
2,2018-06-20 09:38:02.908000,0.081000,2.793359e+001
3,2018-06-20 09:38:02.972000,0.145000,2.789444e+001
4,2018-06-20 09:38:03.033000,0.206000,2.788969e+001
5,2018-06-20 09:38:03.096000,0.269000,2.787822e+001
6,2018-06-20 09:38:03.159000,0.332000,2.790473e+001
7,2018-06-20 09:38:03.222000,0.395000,2.790829e+001
8,2018-06-20 09:38:03.286000,0.459000,2.788179e+001
9,2018-06-20 09:38:03.349000,0.522000,2.788695e+001
10,2018-06-20 09:38:03.412000,0.585000,2.787309e+001
11,2018-06-20 09:38:03.475000,0.648000,2.789761e+001
12,2018-06-20 09:38:03.539000,0.712000,2.792172e+001
13,2018-06-20 09:38:03.600000,0.773000,2.794544e+001
14,2018-06-20 09:38:03.671000,0.844000,2.793120e+001
15,2018-06-20 09:38:03.726000,0.899000,2.792132e+001
16,2018-06-20 09:38:03.785000,0.958000,2.793320e+001
17,2018-06-20 09:38:03.844000,1.017000,2.793755e+001
18,2018-06-20 09:38:03.906000,1.079000,2.792451e+001
19,2018-06-20 09:38:03.975000,1.148000,2.795139e+001
20,2018-06-20 09:38:04.032000,1.205000,2.793636e+001
21,2018-06-20 09:38:04.095000,1.268000,2.794901e+001
22,2018-06-20 09:38:04.158000,1.331000,2.794745e+001
23,2018-06-20 09:38:04.222000,1.395000,2.790514e+001
24,2018-06-20 09:38:04.285000,1.458000,2.795179e+001
25,2018-06-20 09:38:04.350000,1.523000,2.792649e+001
26,2018-06-20 09:38:04.407000,1.580000,2.792767e+001
27,2018-06-20 09:38:04.470000,1.643000,2.793559e+001
28,2018-06-20 09:38:04.533000,1.706000,2.791344e+001
29,2018-06-20 09:38:04.596000,1.769000,2.790989e+001
30,2018-06-20 09:38:04.659000,1.832000,2.788339e+001
31,2018-06-20 09:38:04.722000,1.895000,2.790949e+001
32,2018-06-20 09:38:04.781000,1.954000,2.790119e+001
33,2018-06-20 09:38:04.845000,2.018000,2.787984e+001
34,2018-06-20 09:38:04.908000,2.081000,2.787668e+001
35,2018-06-20 09:38:04.967000,2.140000,2.787627e+001
36,2018-06-20 09:38:05.030000,2.203000,2.789447e+001
37,2018-06-20 09:38:05.096000,2.269000,2.788459e+001
38,2018-06-20 09:38:05.157000,2.330000,2.788261e+001
39,2018-06-20 09:38:05.226000,2.399000,2.786442e+001
40,2018-06-20 09:38:05.283000,2.456000,2.786245e+001
41,2018-06-20 09:38:05.346000,2.519000,2.786047e+001
42,2018-06-20 09:38:05.409000,2.582000,2.783198e+001
43,2018-06-20 09:38:05.473000,2.646000,2.784345e+001
44,2018-06-20 09:38:05.530000,2.703000,2.783356e+001
45,2018-06-20 09:38:05.591000,2.764000,2.783000e+001
46,2018-06-20 09:38:05.654000,2.827000,2.781813e+001
47,2018-06-20 09:38:05.717000,2.890000,2.781930e+001
48,2018-06-20 09:38:05.781000,2.954000,2.784819e+001
49,2018-06-20 09:38:05.840000,3.013000,2.783711e+001
50,2018-06-20 09:38:05.905000,3.078000,2.783197e+001
51,2018-06-20 09:38:05.966000,3.139000,2.780110e+001
52,2018-06-20 09:38:06.028000,3.201000,2.778368e+001
53,2018-06-20 09:38:06.092000,3.265000,2.780665e+001
54,2018-06-20 09:38:06.155000,3.328000,2.780863e+001
55,2018-06-20 09:38:06.218000,3.391000,2.778407e+001
56,2018-06-20 09:38:06.281000,3.454000,2.776942e+001
57,2018-06-20 09:38:06.340000,3.513000,2.774566e+001
58,2018-06-20 09:38:06.404000,3.577000,2.776110e+001
59,2018-06-20 09:38:06.467000,3.640000,2.776427e+001
60,2018-06-20 09:38:06.528000,3.701000,2.777655e+001
61,2018-06-20 09:38:06.591000,3.764000,2.778407e+001
62,2018-06-20 09:38:06.654000,3.827000,2.779080e+001
63,2018-06-20 09:38:06.786000,3.959000,2.780308e+001
64,2018-06-20 09:38:06.842000,4.015000,2.778368e+001
65,2018-06-20 09:38:06.905000,4.078000,2.778725e+001
