frame,abstime,reltime,Line 1 [C]
1,2018-06-20 09:57:05.421000,0.000000,2.782145e+001
2,2018-06-20 09:57:05.505000,0.084000,2.783762e+001
3,2018-06-20 09:57:05.569000,0.148000,2.786042e+001
4,2018-06-20 09:57:05.633000,0.212000,2.785711e+001
5,2018-06-20 09:57:05.693000,0.272000,2.786125e+001
6,2018-06-20 09:57:05.769000,0.348000,2.785918e+001
7,2018-06-20 09:57:05.819000,0.398000,2.786830e+001
8,2018-06-20 09:57:05.887000,0.466000,2.787369e+001
9,2018-06-20 09:57:05.942000,0.521000,2.785835e+001
10,2018-06-20 09:57:06.005000,0.584000,2.786374e+001
11,2018-06-20 09:57:06.068000,0.647000,2.785628e+001
12,2018-06-20 09:57:06.131000,0.710000,2.786789e+001
13,2018-06-20 09:57:06.195000,0.774000,2.786996e+001
14,2018-06-20 09:57:06.258000,0.837000,2.786913e+001
15,2018-06-20 09:57:06.317000,0.896000,2.785794e+001
16,2018-06-20 09:57:06.380000,0.959000,2.784840e+001
17,2018-06-20 09:57:06.443000,1.022000,2.785130e+001
18,2018-06-20 09:57:06.507000,1.086000,2.786291e+001
19,2018-06-20 09:57:06.575000,1.154000,2.786415e+001
20,2018-06-20 09:57:06.633000,1.212000,2.784840e+001
21,2018-06-20 09:57:06.691000,1.270000,2.785254e+001
22,2018-06-20 09:57:06.754000,1.333000,2.784052e+001
23,2018-06-20 09:57:06.816000,1.395000,2.784301e+001
24,2018-06-20 09:57:06.878000,1.457000,2.783804e+001
25,2018-06-20 09:57:06.941000,1.520000,2.785296e+001
26,2018-06-20 09:57:07.004000,1.583000,2.786954e+001
27,2018-06-20 09:57:07.067000,1.646000,2.787327e+001
28,2018-06-20 09:57:07.130000,1.709000,2.786333e+001
29,2018-06-20 09:57:07.193000,1.772000,2.787037e+001
30,2018-06-20 09:57:07.261000,1.840000,2.788032e+001
31,2018-06-20 09:57:07.316000,1.895000,2.787617e+001
32,2018-06-20 09:57:07.379000,1.958000,2.788944e+001
33,2018-06-20 09:57:07.442000,2.021000,2.788944e+001
34,2018-06-20 09:57:07.505000,2.084000,2.787742e+001
35,2018-06-20 09:57:07.569000,2.148000,2.787535e+001
36,2018-06-20 09:57:07.632000,2.211000,2.788529e+001
37,2018-06-20 09:57:07.694000,2.273000,2.787161e+001
38,2018-06-20 09:57:07.753000,2.332000,2.787908e+001
39,2018-06-20 09:57:07.816000,2.395000,2.787700e+001
40,2018-06-20 09:57:07.879000,2.458000,2.788156e+001
41,2018-06-20 09:57:07.942000,2.521000,2.787617e+001
42,2018-06-20 09:57:08.005000,2.584000,2.791636e+001
43,2018-06-20 09:57:08.068000,2.647000,2.794246e+001
44,2018-06-20 09:57:08.131000,2.710000,2.796980e+001
45,2018-06-20 09:57:08.195000,2.774000,2.801285e+001
46,2018-06-20 09:57:08.258000,2.837000,2.805795e+001
47,2018-06-20 09:57:08.314000,2.893000,2.805134e+001
48,2018-06-20 09:57:08.377000,2.956000,2.809269e+001
49,2018-06-20 09:57:08.440000,3.019000,2.809064e+001
50,2018-06-20 09:57:08.534000,3.113000,2.812042e+001
51,2018-06-20 09:57:08.565000,3.144000,2.813158e+001
52,2018-06-20 09:57:08.628000,3.207000,2.813034e+001
53,2018-06-20 09:57:08.693000,3.272000,2.813489e+001
54,2018-06-20 09:57:08.751000,3.330000,2.816259e+001
55,2018-06-20 09:57:08.821000,3.400000,2.818615e+001
56,2018-06-20 09:57:08.876000,3.455000,2.820928e+001
57,2018-06-20 09:57:08.938000,3.517000,2.820348e+001
58,2018-06-20 09:57:09.001000,3.580000,2.816753e+001
59,2018-06-20 09:57:09.064000,3.643000,2.817785e+001
60,2018-06-20 09:57:09.127000,3.706000,2.819315e+001
61,2018-06-20 09:57:09.190000,3.769000,2.817868e+001
62,2018-06-20 09:57:09.253000,3.832000,2.818405e+001
63,2018-06-20 09:57:09.312000,3.891000,2.820471e+001
64,2018-06-20 09:57:09.374000,3.953000,2.822166e+001
65,2018-06-20 09:57:09.438000,4.017000,2.825713e+001
66,2018-06-20 09:57:09.501000,4.080000,2.825218e+001
67,2018-06-20 09:57:09.564000,4.143000,2.832358e+001
68,2018-06-20 09:57:09.627000,4.206000,2.833637e+001
69,2018-06-20 09:57:09.690000,4.269000,2.837765e+001
70,2018-06-20 09:57:09.753000,4.332000,2.858367e+001
71,2018-06-20 09:57:09.814000,4.393000,2.881964e+001
72,2018-06-20 09:57:09.874000,4.453000,2.886650e+001
73,2018-06-20 09:57:09.937000,4.516000,2.890427e+001
74,2018-06-20 09:57:09.998000,4.577000,2.918384e+001
75,2018-06-20 09:57:10.062000,4.641000,2.960972e+001
76,2018-06-20 09:57:10.125000,4.704000,3.004401e+001
77,2018-06-20 09:57:10.188000,4.767000,3.019302e+001
78,2018-06-20 09:57:10.251000,4.830000,3.039204e+001
79,2018-06-20 09:57:10.314000,4.893000,3.057149e+001
80,2018-06-20 09:57:10.375000,4.954000,3.084669e+001
81,2018-06-20 09:57:10.438000,5.017000,3.175126e+001
82,2018-06-20 09:57:10.502000,5.081000,3.200603e+001
83,2018-06-20 09:57:10.565000,5.144000,3.296521e+001
84,2018-06-20 09:57:10.628000,5.207000,3.380384e+001
85,2018-06-20 09:57:10.686000,5.265000,3.515561e+001
86,2018-06-20 09:57:10.747000,5.326000,3.617417e+001
87,2018-06-20 09:57:10.810000,5.389000,3.561219e+001
88,2018-06-20 09:57:10.872000,5.451000,3.157834e+001
89,2018-06-20 09:57:10.935000,5.514000,3.095074e+001
90,2018-06-20 09:57:11.002000,5.581000,3.052970e+001
91,2018-06-20 09:57:11.065000,5.644000,3.045347e+001
92,2018-06-20 09:57:11.128000,5.707000,3.043558e+001
93,2018-06-20 09:57:11.192000,5.771000,3.006150e+001
94,2018-06-20 09:57:11.247000,5.826000,2.970522e+001
95,2018-06-20 09:57:11.311000,5.890000,2.950921e+001
96,2018-06-20 09:57:11.373000,5.952000,2.929536e+001
97,2018-06-20 09:57:11.436000,6.015000,2.922206e+001
98,2018-06-20 09:57:11.497000,6.076000,2.903451e+001
99,2018-06-20 09:57:11.560000,6.139000,2.889828e+001
100,2018-06-20 09:57:11.624000,6.203000,2.874899e+001
101,2018-06-20 09:57:11.687000,6.266000,2.871169e+001
102,2018-06-20 09:57:11.750000,6.329000,2.867636e+001
103,2018-06-20 09:57:11.810000,6.389000,2.867022e+001
104,2018-06-20 09:57:11.873000,6.452000,2.867189e+001
105,2018-06-20 09:57:11.935000,6.514000,2.864264e+001
106,2018-06-20 09:57:11.998000,6.577000,2.864389e+001
107,2018-06-20 09:57:12.061000,6.640000,2.863856e+001
108,2018-06-20 09:57:12.124000,6.703000,2.860238e+001
109,2018-06-20 09:57:12.196000,6.775000,2.857724e+001
110,2018-06-20 09:57:12.251000,6.830000,2.855826e+001
111,2018-06-20 09:57:12.312000,6.891000,2.854549e+001
112,2018-06-20 09:57:12.370000,6.949000,2.854258e+001
113,2018-06-20 09:57:12.433000,7.012000,2.854135e+001
114,2018-06-20 09:57:12.496000,7.075000,2.849193e+001
115,2018-06-20 09:57:12.560000,7.139000,2.846769e+001
116,2018-06-20 09:57:12.623000,7.202000,2.843231e+001
117,2018-06-20 09:57:12.691000,7.270000,2.843436e+001
118,2018-06-20 09:57:12.746000,7.325000,2.839932e+001
119,2018-06-20 09:57:12.825000,7.404000,2.838573e+001
120,2018-06-20 09:57:12.888000,7.467000,2.838738e+001
121,2018-06-20 09:57:12.934000,7.513000,2.836057e+001
122,2018-06-20 09:57:12.995000,7.574000,2.832673e+001
123,2018-06-20 09:57:13.058000,7.637000,2.830775e+001
124,2018-06-20 09:57:13.121000,7.700000,2.830404e+001
125,2018-06-20 09:57:13.185000,7.764000,2.830735e+001
126,2018-06-20 09:57:13.254000,7.833000,2.829247e+001
127,2018-06-20 09:57:13.307000,7.886000,2.829576e+001
128,2018-06-20 09:57:13.368000,7.947000,2.828256e+001
129,2018-06-20 09:57:13.434000,8.013000,2.822808e+001
130,2018-06-20 09:57:13.531000,8.110000,2.822398e+001
131,2018-06-20 09:57:13.561000,8.140000,2.822150e+001
132,2018-06-20 09:57:13.622000,8.201000,2.820044e+001
