frame,abstime,reltime,Line 1 [C]
0,2018-06-20 08:58:11.219000,0.000000,2.739702e+001
1,2018-06-20 08:58:11.252000,0.033000,2.740741e+001
2,2018-06-20 08:58:11.285000,0.066000,2.740609e+001
3,2018-06-20 08:58:11.318000,0.099000,2.738525e+001
4,2018-06-20 08:58:11.351000,0.132000,2.739736e+001
5,2018-06-20 08:58:11.384000,0.165000,2.740273e+001
6,2018-06-20 08:58:11.418000,0.199000,2.741450e+001
7,2018-06-20 08:58:11.452000,0.233000,2.741953e+001
8,2018-06-20 08:58:11.485000,0.266000,2.740844e+001
9,2018-06-20 08:58:11.518000,0.299000,2.740002e+001
10,2018-06-20 08:58:11.551000,0.332000,2.738894e+001
11,2018-06-20 08:58:11.584000,0.365000,2.739365e+001
12,2018-06-20 08:58:11.617000,0.398000,2.739266e+001
13,2018-06-20 08:58:11.651000,0.432000,2.739905e+001
14,2018-06-20 08:58:11.685000,0.466000,2.739200e+001
15,2018-06-20 08:58:11.718000,0.499000,2.739368e+001
16,2018-06-20 08:58:11.751000,0.532000,2.737521e+001
17,2018-06-20 08:58:11.784000,0.565000,2.739032e+001
18,2018-06-20 08:58:11.817000,0.598000,2.739838e+001
19,2018-06-20 08:58:11.850000,0.631000,2.739200e+001
20,2018-06-20 08:58:11.884000,0.665000,2.738563e+001
21,2018-06-20 08:58:11.918000,0.699000,2.738496e+001
22,2018-06-20 08:58:11.952000,0.733000,2.739506e+001
23,2018-06-20 08:58:11.985000,0.766000,2.737590e+001
24,2018-06-20 08:58:12.018000,0.799000,2.738197e+001
25,2018-06-20 08:58:12.051000,0.832000,2.738666e+001
26,2018-06-20 08:58:12.084000,0.865000,2.739304e+001
27,2018-06-20 08:58:12.118000,0.899000,2.740141e+001
28,2018-06-20 08:58:12.152000,0.933000,2.740209e+001
29,2018-06-20 08:58:12.186000,0.967000,2.742461e+001
30,2018-06-20 08:58:12.219000,1.000000,2.742527e+001
31,2018-06-20 08:58:12.252000,1.033000,2.743368e+001
32,2018-06-20 08:58:12.285000,1.066000,2.742192e+001
33,2018-06-20 08:58:12.318000,1.099000,2.741788e+001
34,2018-06-20 08:58:12.351000,1.132000,2.741684e+001
35,2018-06-20 08:58:12.385000,1.166000,2.742625e+001
36,2018-06-20 08:58:12.419000,1.200000,2.741618e+001
37,2018-06-20 08:58:12.452000,1.233000,2.740308e+001
38,2018-06-20 08:58:12.485000,1.266000,2.740608e+001
39,2018-06-20 08:58:12.518000,1.299000,2.740743e+001
40,2018-06-20 08:58:12.551000,1.332000,2.738291e+001
41,2018-06-20 08:58:12.584000,1.365000,2.739902e+001
42,2018-06-20 08:58:12.618000,1.399000,2.739262e+001
