frame,abstime,reltime,Line 1 [C]
1,2018-06-20 10:01:26.979000,0.000000,2.811362e+001
2,2018-06-20 10:01:27.047000,0.068000,2.812130e+001
3,2018-06-20 10:01:27.106000,0.127000,2.814028e+001
4,2018-06-20 10:01:27.169000,0.190000,2.813422e+001
5,2018-06-20 10:01:27.228000,0.249000,2.812937e+001
6,2018-06-20 10:01:27.292000,0.313000,2.812170e+001
7,2018-06-20 10:01:27.355000,0.376000,2.811644e+001
8,2018-06-20 10:01:27.421000,0.442000,2.811157e+001
9,2018-06-20 10:01:27.479000,0.500000,2.809054e+001
10,2018-06-20 10:01:27.542000,0.563000,2.807878e+001
11,2018-06-20 10:01:27.606000,0.627000,2.803956e+001
12,2018-06-20 10:01:27.669000,0.690000,2.802823e+001
13,2018-06-20 10:01:27.728000,0.749000,2.801730e+001
14,2018-06-20 10:01:27.791000,0.812000,2.812495e+001
15,2018-06-20 10:01:27.854000,0.875000,2.877528e+001
16,2018-06-20 10:01:27.919000,0.940000,2.924000e+001
17,2018-06-20 10:01:27.983000,1.004000,2.890273e+001
18,2018-06-20 10:01:28.045000,1.066000,2.814899e+001
19,2018-06-20 10:01:28.108000,1.129000,2.799147e+001
20,2018-06-20 10:01:28.171000,1.192000,2.793569e+001
21,2018-06-20 10:01:28.235000,1.256000,2.793044e+001
22,2018-06-20 10:01:28.290000,1.311000,2.793124e+001
23,2018-06-20 10:01:28.353000,1.374000,2.790090e+001
24,2018-06-20 10:01:28.416000,1.437000,2.789320e+001
25,2018-06-20 10:01:28.477000,1.498000,2.788834e+001
26,2018-06-20 10:01:28.541000,1.562000,2.787417e+001
27,2018-06-20 10:01:28.604000,1.625000,2.789642e+001
28,2018-06-20 10:01:28.667000,1.688000,2.793868e+001
29,2018-06-20 10:01:28.730000,1.751000,2.797975e+001
30,2018-06-20 10:01:28.789000,1.810000,2.796642e+001
31,2018-06-20 10:01:28.921000,1.942000,2.791582e+001
32,2018-06-20 10:01:28.976000,1.997000,2.792879e+001
33,2018-06-20 10:01:29.039000,2.060000,2.793404e+001
34,2018-06-20 10:01:29.105000,2.126000,3.122641e+001
35,2018-06-20 10:01:29.166000,2.187000,2.969964e+001
36,2018-06-20 10:01:29.229000,2.250000,2.838165e+001
37,2018-06-20 10:01:29.292000,2.313000,2.822178e+001
38,2018-06-20 10:01:29.351000,2.372000,2.816125e+001
39,2018-06-20 10:01:29.414000,2.435000,2.808815e+001
40,2018-06-20 10:01:29.476000,2.497000,2.806470e+001
41,2018-06-20 10:01:29.537000,2.558000,2.802426e+001
42,2018-06-20 10:01:29.601000,2.622000,2.802141e+001
43,2018-06-20 10:01:29.677000,2.698000,2.801008e+001
44,2018-06-20 10:01:29.730000,2.751000,2.801735e+001
45,2018-06-20 10:01:29.794000,2.815000,2.800401e+001
